Business Name,Health Score,Health Index
Chuck's Roadhouse Bar and Grill,0.28786923076923077,2.5
Saveurs Thai,0.23761666666666667,2.5
China Saute,0.43424615384615384,3
McDonald's,-0.07224,2
Top O' The Mornin' Donut & Coffee Shop,0.349412,2.5
17 Steps Restaurant and Bar,0.3124120689655172,2.5
Albertsons-Osco,-0.10156666666666668,2
Danny Mac's,0.17752000000000004,2.5
The Zenith,0.3050391999999999,2.5
South East Gears & Cheers,0.32424605263157896,2.5
Greek Street,0.3686156250000001,3
Armando's,0.08652051282051282,2
Twisters Soft Serve Ice Cream,0.11611935483870969,2
JJ's Grubb Shack N Liquor,0.24595000000000006,2.5
Residence Inn Phoenix Glendale,0.332175,2.5
Nadia's Restaurant & Grapevine Lounge,0.2925714285714286,2.5
Thrifty Ice Cream,0.31845,2.5
Coney Island Grill,0.09825945945945945,2
Priya Indian Restaurant,0.08178181818181816,2
Planet Sub,0.29560571428571425,2.5
Chester's BBQ,0.2609545454545455,2.5
Sushi Omigoto,0.08475000000000003,2
Aladdin Juice Bar & Restaurant,0.146575,2.5
Spicy Tang,0.14818125000000001,2.5
Restaurant Karoun,0.36089272727272725,2.5
Jasmine,0.14325000000000002,2.5
Union Pig & Chicken,0.2394162359550564,2.5
Mandarin Restaurant - Toronto,0.23970343137254893,2.5
Galitos Flame Grilled Chicken,0.21379354838709674,2.5
MoMo's Kebab,0.38561723163841766,3
Kornerstones,0.16630312500000002,2.5
Pizza e Pazzi,0.32337999999999995,2.5
L'Oeufrier,0.3312689873417721,2.5
Asian Chao,0.0,2
The Purple Pig cafe,0.29258333333333336,2.5
East End Bistro & Pub,0.32643333333333335,2.5
Cafe St Germain,0.7045,4
Coffee & Tea Express,0.5041769230769231,3
Moxie Java,0.1684,2.5
Gelato 64,0.4246333333333333,3
Elounda,0.3168391666666666,2.5
AJ Bambino,-0.015174999999999994,2
The Atlantic,0.2555126984126981,2.5
Sobeys,0.60405,3.5
Bonnie Springs Ranch Resort,0.36484857142857147,2.5
King Wah,0.34140523560209407,2.5
E & R Sweetery,0.5106571428571429,3
Modern Donut,0.35672857142857145,2.5
3 Tomatoes & A Mozzarella,0.19270689655172413,2.5
Waterfalls Indian Tapas Bar & Grill,0.2686925619834709,2.5
Arlequino,0.21791782178217814,2.5
Chuck's Chicken Plus,0.36380727272727276,2.5
Something Classic Cafe,0.253069387755102,2.5
Two Scoops Creamery,0.38865132450331086,3
Country Maid Ice Cream,0.37002972972972975,3
Northside Farmers Market,0.0,2
Lucky Season Cuisine,0.27179000000000003,2.5
Yuppdduk,0.3846944444444444,3
Whole Foods Market,0.2858777777777778,2.5
Lescurier Tradition Gourmande,0.23711999999999994,2.5
T.C. Eggington's,0.2849203966005663,2.5
Golden Vaughan,0.1954565217391304,2.5
Giggling Tomatoes Restaurant,0.15729705882352943,2.5
Katie's Kandy,0.41961818181818183,3
Jack's New Yorker Deli,0.24295365853658532,2.5
Chez Sophie,0.36958888888888874,3
Chesser Fish & Chips,0.041100000000000005,2
Alexion's Bar & Grill,0.24888571428571435,2.5
Kashmir Valley,0.53904,3
Shari's Rock & Roll Diner,0.20964888888888883,2.5
China Moon,0.0443340909090909,2
Mooyah,0.3274435064935064,2.5
Tomo Steakhouse & Sushi Bar,0.0,2
Emerald Island Casino,0.3943850746268657,3
Taxco Mexican Grill,0.2276436893203884,2.5
Sonic Drive-In,0.2496392857142857,2.5
Any Direct Flight,-0.01976,2
New Seaway Fish Market,0.38356666666666667,3
Hungry Howie's Pizza,0.24587843137254906,2.5
Wrapcity Gourmet,0.2835032258064516,2.5
Tai Pan,0.23276,2.5
Salads UP,0.23262368421052634,2.5
Denny's,-0.09368333333333333,2
Mulligans Sports Bar & Grille,0.1059,2
Shanghai 1938,-0.12292777777777777,2
Tao Restaurant,0.29456071428571434,2.5
Casa Loma,0.2685104166666667,2.5
Restaurant Gandhi,0.3429295454545455,2.5
Ardolino's Pizza,0.40064883720930244,3
Fleur's Deli,0.10625555555555555,2
Inferno Hot Pilates,0.64185,3.5
Arby's,0.0777,2
Yogurty's Yogurt,0.24454749999999992,2.5
Sachi Sushi,0.4054925925925925,3
Yard House,0.32705852090032206,2.5
Ghazale,0.2736653846153846,2.5
Smashburger,0.41827058823529417,3
No 1 Sushi Bar,0.19304453781512612,2.5
Seoul Restaurant,0.3482483870967742,2.5
Sichuan Landscape Chinese Restaurant,0.08885909090909092,2
"Smell, No Taste!",0.284765,2.5
Disanto Pizza,0.082275,2
Buffalo Browns Wings and Things,0.42142222222222225,3
The Keg Steakhouse + Bar - York Street,0.35332959770114897,2.5
Butter Avenue Yonge & Lawrence,0.34400830449826975,2.5
Playa Cabana Cantina,0.2714631578947368,2.5
Mirage Grill & Lounge,0.07165624999999999,2
Las 15 Salsas,0.4012238095238095,3
Ahwatukee Country Club,-0.27209999999999995,1.5
Pizzaiolo,0.41290000000000004,3
Raku Sushi,0.27690000000000003,2.5
Kasai,0.4817730434782607,3
Sushi St-Denis,0.12961494252873562,2.5
JD's Sports Pub & Lounge,0.27866666666666673,2.5
Soupesoup,0.2657888888888889,2.5
Safeway,0.3932833333333334,3
Peckish Prep,0.25856,2.5
It's A Grind Coffee House,0.3308499999999999,2.5
The Brown Bag Deli Restaurant,0.34173846153846166,2.5
Golden Donuts & Smoothies,0.3341532786885244,2.5
Bistro 422 Bar & Grill,0.0,2
Petits Gateaux,0.30399215686274517,2.5
