Business Name,Health Score,Health Index
Patati Patata,0.3291494407158835,2.5
Bob's Garden Centre,0.7871,4
Wendy's,0.192778947368421,2.5
Yonge Market 506,0.2065733333333334,2.5
Yip's Kitchen,0.14391363636363638,2.5
Vince Seafood Restaurant & BBQ,0.3182060606060606,2.5
Volume Salon,0.0,2
Taste of Italy Pizza,0.28026593406593403,2.5
Churrasqueira Vira's BBQ,-0.23256666666666667,2
The Improper Pig,0.31567256097560986,2.5
Toronto Bread Company,0.4230909090909092,3
Inaka Sushi,0.20100588235294123,2.5
Rubens Chocolate,0.48016,3
Coldwater Golf Club,0.34175,2.5
Chuck's Roadhouse Bar and Grill,0.2786304347826087,2.5
Saveurs Thai,0.22113703703703702,2.5
China Saute,0.22825142857142858,2.5
The Farm Sessions,0.3808222222222223,3
McDonald's,-0.1806,2
Top O' The Mornin' Donut & Coffee Shop,0.3242360000000001,2.5
17 Steps Restaurant and Bar,0.28647674418604646,2.5
Albertsons-Osco,0.3612,2.5
Danny Mac's,0.16247499999999998,2.5
The Zenith,0.29053574999999987,2.5
South East Gears & Cheers,0.30237966101694913,2.5
Greek Street,0.29943548387096774,2.5
Armando's,0.047846875,2
Twisters Soft Serve Ice Cream,0.10533928571428572,2
JJ's Grubb Shack N Liquor,0.4959,3
Residence Inn Phoenix Glendale,0.16423333333333334,2.5
Coney Island Grill,0.11438275862068965,2
Priya Indian Restaurant,0.23431875,2.5
Planet Sub,0.2797448275862069,2.5
Chester's BBQ,0.28704999999999997,2.5
Sushi Omigoto,0.81365,4.5
Spicy Tang,0.18745624999999996,2.5
Villager,0.44037341772151894,3
Jasmine,0.2681464285714286,2.5
Union Pig & Chicken,0.23972257885998902,2.5
Mandarin Restaurant - Toronto,0.2792884848484847,2.5
Galitos Flame Grilled Chicken,0.1869695652173913,2.5
MoMo's Kebab,0.34597932203389775,2.5
Kornerstones,0.33701250000000005,2.5
Pizza e Pazzi,0.2957666666666666,2.5
L'Oeufrier,0.35443785310734455,2.5
Asian Chao,0.18521666666666667,2.5
The Purple Pig cafe,0.2507857142857143,2.5
East End Bistro & Pub,0.24721200000000007,2.5
Motel One,0.0056,2
Cafe St Germain,0.7841,4
Coffee & Tea Express,0.4929615384615384,3
Moxie Java,0.26576190476190475,2.5
Gelato 64,0.386775,3
Elounda,0.33358188405797085,2.5
AJ Bambino,-0.015174999999999994,2
The Atlantic,0.2940695067264572,2.5
Sobeys,0.20572500000000002,2.5
Bonnie Springs Ranch Resort,0.35832272727272724,2.5
Boston's,0.36535,2.5
King Wah,0.281255882352941,2.5
BLT Steak,0.30634610427650966,2.5
Leo Barber Shop,-0.0242,2
3 Tomatoes & A Mozzarella,0.19540731707317072,2.5
Waterfalls Indian Tapas Bar & Grill,0.28898407643312096,2.5
Arlequino,0.26872909090909086,2.5
Chuck's Chicken Plus,0.3292178571428571,2.5
Something Classic Cafe,0.25276,2.5
Shale Creek Golf Club,0.5726,3.5
Two Scoops Creamery,0.362814136125654,2.5
Bruster's Real Ice Cream,0.33398571428571433,2.5
Northside Farmers Market,0.2970111111111111,2.5
Lucky Season Cuisine,0.34003333333333335,2.5
Yuppdduk,0.4286,3
Whole Foods Market,0.3798710144927537,3
Maryanne's Breakfast & Lunch,0.23345000000000002,2.5
Lescurier Tradition Gourmande,0.41949999999999993,3
T.C. Eggington's,0.28572391304347805,2.5
Golden Vaughan,0.20111000000000004,2.5
Giggling Tomatoes Restaurant,0.21152439024390246,2.5
Katie's Kandy,0.4699384615384616,3
Anna's Linens,0.0,2
Jack's New Yorker Deli,0.2458666666666666,2.5
Chez Sophie,0.36963999999999986,3
Chesser Fish & Chips,0.3382,2.5
Alexion's Bar & Grill,0.39530952380952367,3
Shari's Rock & Roll Diner,0.22922909090909088,2.5
China Moon,-0.0036333333333333525,2
Mooyah,0.2758466165413533,2.5
Tomo Steakhouse & Sushi Bar,0.0,2
Emerald Island Casino,0.3740886075949368,3
Silver Sage Wellness,0.16477142857142857,2.5
Taxco Mexican Grill,0.21180618556701034,2.5
Sonic Drive-In,0.22219000000000003,2.5
New Seaway Fish Market,0.3226,2.5
Hungry Howie's Pizza,0.2798632911392406,2.5
Wrapcity Gourmet,0.26583333333333337,2.5
Tai Pan,0.3074545454545455,2.5
Salads UP,0.3265142857142858,2.5
Denny's,0.038275,2
Mulligans Sports Bar & Grille,0.19330833333333333,2.5
Shanghai 1938,-0.11776470588235292,2
Tao Restaurant,0.33716363636363644,2.5
Casa Loma,0.19577575757575758,2.5
Restaurant Gandhi,0.3080962962962963,2.5
Speedway,0.30679999999999996,2.5
Ardolino's Pizza,0.4112048780487806,3
Fleur's Deli,0.17614545454545455,2.5
Inferno Hot Pilates,0.6249,3.5
Arby's,0.020850000000000007,2
Yogurty's Yogurt,0.25714385964912273,2.5
Sachi Sushi,0.38488448275862064,3
Yard House,0.3231956632653068,2.5
Ghazale,0.21594067796610178,2.5
Smashburger,0.43500357142857143,3
Biryani Kabab and More,0.1807875,2.5
Seoul Restaurant,0.287027027027027,2.5
Sichuan Landscape Chinese Restaurant,0.11552682926829269,2
"Smell, No Taste!",0.16862142857142853,2.5
Disanto Pizza,-0.11429,2
Buffalo Browns Wings and Things,0.3061260869565218,2.5
The Keg Steakhouse + Bar - York Street,0.3397281329923269,2.5
Butter Avenue Yonge & Lawrence,0.341027192982456,2.5
Playa Cabana Cantina,0.27581111111111095,2.5
Mirage Grill & Lounge,0.28843125000000003,2.5
Las 15 Salsas,0.48794999999999994,3
Pizzaiolo,0.4798111111111112,3
Raku Sushi,0.23581578947368426,2.5
Kasai,0.3665880341880341,2.5
Sushi St-Denis,0.1625285714285714,2.5
JD's Sports Pub & Lounge,0.30554583333333335,2.5
Soupesoup,-0.27145,1.5
Peckish Prep,0.12875714285714285,2.5
It's A Grind Coffee House,0.5038125,3
Cost Plus World Market,0.3031384615384615,2.5
The Brown Bag Deli Restaurant,0.30893650793650795,2.5
Golden Donuts & Smoothies,0.30919739130434776,2.5
Bistro 422 Bar & Grill,0.23013333333333333,2.5
Sweets & Beats,0.4404,3
Mullins Irish Pub,0.70665,4
Los Zarapes,0.46803125,3
Al Pastor,0.21750070921985815,2.5
Mario Fazio's Restaurant & Catering,0.32185323741007194,2.5
My Florist Cafe,0.25333539325842686,2.5
White House Meats,0.37955,3
Palio Pronto,0.07586551724137933,2
Free Times,0.29186232876712326,2.5
The I.D.E.A. Store,0.09866666666666667,2
La Bistrote,0.4637,3
Badger Bowl,0.2072285714285714,2.5
Peroni Resto Bar,-0.0007999999999999859,2
Menchie's - Brossard,0.40679230769230773,3
Reds Bistro and Wine Bar,0.21057291666666667,2.5
Extra Butter Coffee,0.2132484848484849,2.5
Brickstone,0.2860481481481481,2.5
Native New Yorker,0.2433545454545454,2.5
No 1 Chinese Kitchen,0.3213769230769231,2.5
Ristorante Pizzeria La Piazzetta,0.09215000000000001,2
La Strada Bakery,0.5654222222222223,3.5
Whataburger,0.311595,2.5
Restaurant Beijing,0.2708138339920946,2.5
DSW Designer Shoe Warehouse,0.08086000000000002,2
Smartfilm,0.6114,3.5
Paradise Bakery and Cafe,0.22769999999999996,2.5
William J Walter,0.3398464285714286,2.5
The Burnham Restaurant,0.36036250000000014,2.5
Golden Crisp Fish & Chips,0.14782857142857142,2.5
Hemingway's Cafe,0.2952000000000001,2.5
Tasti D-Lite,0.2515934782608696,2.5
Master Italian Pizzeria,0.3431,2.5
Lac Vien Vietnamese Restaurant,0.22121737588652468,2.5
Honey Hut Ice Cream Shoppe,0.28864100000000004,2.5
Carmona's Cafe,0.05659230769230769,2
Est West Cafe,0.2737178571428569,2.5
Druxy's Famous Deli,0.08535,2
Sunoff Blinds & Solar Screens,0.43085,3
Bar Moderno,0.09684285714285715,2
Osteria 2350,0.23635547445255453,2.5
Barberian's Steak House,0.2955787974683542,2.5
Panaderia & Taqueria Marimar,0.22395384615384614,2.5
The Original Flame Burger,0.18509333333333333,2.5
Gourmet Express,0.32688285714285714,2.5
Espresso Planet,0.274325,2.5
Djerba la Douce,0.28215616438356167,2.5
J&R Kosher Meat & Delicatessen,0.30516,2.5
Vintage Tea & Coffee,0.3281669014084506,2.5
Poutini's House of Poutine,0.32758539325842706,2.5
Giuseppes Pizza & Subs,0.14737142857142857,2.5
Bert's Backyard Bar and Bistro,0.2261086956521739,2.5
Shahi The Royal Roti,0.15616071428571426,2.5
Zimmerman's Freshmart,0.14534,2.5
Fox & Fiddle,0.2814166666666667,2.5
Bread and Kabob,0.2638231481481483,2.5
Luna Rossa,0.28082819843341994,2.5
Wright's Auto Service,0.4019,3
Metro Plus,0.024399999999999977,2
Destingo,0.07112558139534882,2
Dozen Cupcakes,0.2627353982300885,2.5
Good Music,0.4902333333333333,3
Bucci's Brick Oven,0.26221336898395714,2.5
Blackfriars,0.3090121951219512,2.5
Peter's Cuisine -Grill- Banquets,0.6358666666666666,3.5
Tim Hortons,0.0,2
Chez Carl Express,0.3799,3
McDonalds,0.025546153846153847,2
Saigon Bistro,0.33023921568627457,2.5
LaMarca's Pizza,0.29532857142857144,2.5
Goods & Provisions,0.2617259036144576,2.5
Sur La Table,0.310475,2.5
Essen,0.2495021978021978,2.5
Pho Little Saigon,0.25868031496062976,2.5
Hot Dog On A Stick,0.3702142857142857,3
Natalia's Gourmet Bakery,0.2911625,2.5
Caju,0.13222777777777778,2.5
Peppery Cat,0.3116777777777778,2.5
Roberto's Taco Shop,0.21140193548387096,2.5
Bon Appetit Cafe,0.2512565217391304,2.5
LensCrafters,0.4404,3
Big Eye Sushi Bar,0.3068079545454545,2.5
The Pursuit of Frosting,0.31804666666666664,2.5
Liberty Shawarma,0.48104736842105256,3
Tealicious Tea House,0.35176756756756755,2.5
T1 Tapas,0.01584,2
Dusit Restaurant,0.29237863247863255,2.5
Escape Lounge,0.09367,2
Asian Legend,0.24655543175487457,2.5
Peoples Food,0.2979823529411765,2.5
New Sun Star Super Buffet,0.4939,3
UUBU 6,0.14488787878787882,2.5
Cream,0.2352894736842105,2.5
Five Guys,0.4839166666666667,3
The 5-Spot,0.35629661016949143,2.5
"Grain, Curd & Bean",0.4065526315789474,3
Aroma Bakery,0.35203214285714285,2.5
Rosie's Italian Cafe,0.3794500000000001,3
Lebowskis,0.3260644444444445,2.5
Yogurtland,0.3316083333333332,2.5
Dentonia Golf Course,0.23059999999999997,2.5
DiBella's Subs,0.2460260869565217,2.5
Frontier Airlines,0.58885,3.5
America's Taco Shop,0.07210000000000001,2
Hoot & Howl,-0.03787142857142857,2
Matt's Big Breakfast,0.32093065286624217,2.5
Sprouts Farmers Market,0.39090161290322567,3
Restaurant Globe,0.49365625,3
Babe's Good N Plenty,0.2675,2.5
Villemont Pizza,0.3590625,2.5
Ville souterraine RESO /Underground City,0.4461,3
Hartigan's Irish Pub,0.3299222222222223,2.5
Restaurant Chez Lien Plus,0.373575,3
Gradys Sports Grill,0.25455,2.5
Menchie's,0.29735999999999996,2.5
Cicis,0.06267954545454545,2
Primanti Bros,0.22672404317958814,2.5
Annona Resturant,0.30325844155844117,2.5
Wasabi Japanese Restaurant & Sushi Bar,0.22936039603960395,2.5
Restaurant Houston Steaks et Cotes Levees,0.07042463768115942,2
Mark Andrew Hair Studio,0.6823,3.5
Power 98.3 & 101.9,0.807,4
Carl's Jr,0.3782833333333333,3
Chef Chen Chinese Resturant,0.12436,2.5
Oriental Foot Spa,0.0,2
Veloce Restaurant,0.4419574999999999,3
Town Tavern,-0.10606666666666666,2
Pasta Express,0.2509,2.5
CitiWide Garage Door,0.0,2
Hamburger Heaven,0.6014916666666666,3.5
Las Vegas Distillery,0.34784166666666666,2.5
Haymarket Station Bar,0.7136,4
Le Den,0.36576,2.5
Hot Sauce Williams Barbecue Restaurant,0.21976073298429305,2.5
BQM King West,0.0,2
Fuddruckers,0.31367105263157896,2.5
The Perfect Scoop,0.0,2
Booster Juice,0.159225,2.5
Briskit Gourmet Slow Cooked Sandwiches,0.16468695652173918,2.5
Betty's,0.3810097826086956,3
George IV Bar,0.3073272727272727,2.5
Brazil Bakery and Pastry,0.5145428571428571,3
Great Clips,0.4404,3
Sexy Lexy Kitchen,0.563875,3.5
The Hookah Lounge,0.6753,3.5
Tsunami,0.2407610687022901,2.5
The Estancia Club,0.6787000000000001,3.5
Traffic Jam,0.34762372881355935,2.5
Bazara Asian Cuisine,0.36373620178041527,2.5
Bama's Southern Kitchen,0.33489040000000003,2.5
Hong Kong Garden Seafood & Dim Sum Cafe,0.30887359154929533,2.5
Alton Restaurant,0.16626000000000005,2.5
ABD Signs & Printing,0.6124,3.5
Chez Gautier Restaurant,0.1301392857142857,2.5
Union Hills Smoke Shop,0.6996,4
Double Blessing's Goat's Milk Lotions & Soaps,0.5326,3
Popped,0.2933248608534321,2.5
JW Floor Covering,0.6044,3.5
Sun Sing Express Chinese Food,0.5262,3
Little Italy Pizza,0.32077446808510635,2.5
Just Blaze,0.37846666666666673,3
Mora Italian,0.28654866385372724,2.5
"First Watch - Breakfast, Brunch & Lunch",0.2906897435897436,2.5
Fonduementale,0.3166041237113401,2.5
Annapoorna,0.23748235294117648,2.5
Beckham's B&M Bar-B-Que,0.27486086956521744,2.5
Noble Tile Supply,0.61455,3.5
Lowdown Cafe,0.2332916666666667,2.5
Yame Sushi,0.2458827586206897,2.5
Ray's Asian Cuisine and House of Ramen,0.2815645569620253,2.5
Indigo Joe's,0.5370714285714285,3
Sweet Republic,0.3726610203268238,3
24 Carrots Juice Bar & Cafe,0.3336460869565217,2.5
Shack In Back,0.4404,3
Douce France,0.38508651685393275,3
Photo Service,0.2634909090909091,2.5
Gourmet Quick Bite,0.3617779661016949,2.5
QuikTrip,0.51055,3
Las Vegas Fruits & Nuts,0.10623333333333335,2
Heinz Field,0.23118124999999998,2.5
Il Primo Pizza & Wings,0.18543953488372092,2.5
Old Time Meat & Deli Shoppe,0.34554935064935066,2.5
Sbarro's Italian Eatery,0.12213636363636365,2
Sanchioli Bakery,0.3212875,2.5
I-90 Nissan,0.33615,2.5
Copper Kettle,0.07895937500000001,2
Go! Bistro,0.33944444444444444,2.5
Old Man Pizza,0.43910400000000005,3
Red Square,0.4011,3
Bocca On Baldwin,0.28905294117647057,2.5
Baker Candies Inc,0.3683875,3
Mr Rice Takeaway,0.23698000000000002,2.5
China One,0.23902343750000002,2.5
Calli's,0.3346095238095238,2.5
Nobu Tei,0.27125539906103274,2.5
Little Shmiddy's Hot Meat House,0.4150580645161291,3
Gyro Express,0.387475,3
Falbo Bros. Pizzeria,0.2416712,2.5
Toby Keiths I Love This Bar & Grill,0.1343909090909091,2.5
Sidewalk Cafe Painesville,0.22961612903225806,2.5
Itri,0.34961764705882353,2.5
Tiffany's Nail Salon,0.148,2.5
AZTECA Bakeries & Restaurant,0.28759590163934423,2.5
Wisconsin Craft Market,0.3416727272727273,2.5
Fruit Jungle,0.3175071428571428,2.5
Capitaine Pouf,0.3070363636363636,2.5
Caddyshack Inn,0.31406666666666666,2.5
Fox & Hound of Charlotte,0.06752962962962962,2
Tea-rrific,0.25384285714285715,2.5
Walgreens,0.4958,3
Fleming's Prime Steakhouse & Wine Bar,0.3432809917355368,2.5
Dmart,0.52496,3
Babos Donerpoint,0.4002723076923077,3
TPC Grille,0.38891875000000004,3
TAP Sports Bar,0.24611166180758004,2.5
O'Brien's Grille & Pub,0.5247333333333334,3
Abyssinia,0.35683999999999994,2.5
Cafe Plenty,0.28508441558441555,2.5
Restaurant Sahib,0.24008139534883718,2.5
Liberty Station,0.2749745222929936,2.5
Rain,-0.4767,1.5
Harvard Soul Bistro,0.21347142857142856,2.5
The Cooper's Tavern,0.2668372787610622,2.5
Granite City Food & Brewery,0.22925162241887886,2.5
Joey's of Chicago,0.21528750000000002,2.5
Walk In Wok Out,0.3031636363636364,2.5
Produce Place Market,0.36350625000000003,2.5
Lion and Dragon Pub,0.04470000000000002,2
Old Chain Pier,0.4233761904761906,3
Port City Java,0.3735375,3
Famous Dave's,0.23167773722627721,2.5
Maurya East Indian Roti - Etobicoke,0.33507391304347817,2.5
Hamdi Restaurant,0.3016916666666667,2.5
Jimmy's American Tavern,0.007486363636363637,2
Thai Heng Restaurant,0.43621904761904756,3
Angelo's Pizza  Kitchen,0.27825312500000005,2.5
Duckworth's Grill & Taphouse,0.3144803921568625,2.5
Rocks Lounge,0.28876666666666667,2.5
Baguette & Co,0.333479012345679,2.5
Le Oui Oui,0.12837500000000002,2.5
Galanga Thai Eatery,0.26813492063492045,2.5
