Business Name,Health Score,Health Index
Southern Cove,-0.8481,1
JP Charlotte at Westin,0.38181355932203387,3
Frontier,0.34752835820895517,2.5
Portland Jerk,0.17639508196721312,2.5
Caffeine,0.30806666666666666,2.5
Olives & Epices,0.23726000000000003,2.5
Symposium Cafe Restaurant & Lounge,0.1623386167146973,2.5
Golden Patty,0.25985560344827574,2.5
La Mer Rouge,0.23461764705882354,2.5
Blue Sky Nails & Spa,0.4041,3
Whistlestop Restaurant,0.4056272727272728,3
Hwy 55 Burgers Shakes & Fries,0.17754999999999993,2.5
Real Canadian Superstore,0.6065333333333333,3.5
El Chullo Peruvian Restaurant & Bar,0.3564356643356647,2.5
Ace's Main Tap,0.5473647058823529,3
The M Resort Race & Sports Book,0.6249,3.5
Jung Soo Nae,0.30552602739726037,2.5
Chang's Chinese Buffet,0.4839833333333334,3
Yelp's Secret Cinema: Made In Arizona,0.3712,3
Fragapane Bakeries,0.29174769230769226,2.5
Yafo Kitchen,0.3527000000000003,2.5
Hue's Kitchen,0.21083412322274864,2.5
Walt's BBQ,0.23486666666666667,2.5
Mango Thai,0.23144027777777776,2.5
Das Cafe,0.36060096153846144,2.5
Fireside Grill,0.16548924731182793,2.5
Mesquite Bbq Catering,0.18444516129032257,2.5
Jesters Mexican Grill,0.24453214285714295,2.5
Grill 4 U,0.2772622641509434,2.5
Maison de cari golden,0.18064516129032257,2.5
Bull & Barrister Draft House and Grille,0.07480789473684213,2
Shanghai Dim Sum,0.24039086419753047,2.5
Barrio Lounge,0.24196538461538458,2.5
La Cochonne Rit,0.34235789473684214,2.5
Fabulous Bar & Cafe,0.3615727272727273,2.5
Village Martini & Wine Bar,0.31357802197802215,2.5
My Big Fat Greek Restaurant,0.1591,2.5
Jang Won Restaurant,0.13479736842105267,2.5
2 Men and A Pizza,0.2685810810810811,2.5
Sloppi Jo's Roving Eatery,0.2841883620689655,2.5
Slim and Chubby's,0.20128666666666664,2.5
Chong Qing Legend,0.2764129032258064,2.5
Grainery Bakery & Deli,0.236425,2.5
Gold's Gym,0.66495,3.5
Pita Jungle,0.26067413793103433,2.5
Scottsdale Spice,0.04387142857142857,2
O ' Sake,0.6733400000000002,3.5
Golden Horse Restaurant,0.20852197802197794,2.5
Nibblers Catering,0.12090000000000001,2
Bane Boys Burgers,0.1591,2.5
Johnny Mango World Cafe & Bar,0.31806987804878095,2.5
Winners Sports Bar & Grill,0.056203174603174595,2
Gilbert Fireplaces & BBQ's,0.14245,2.5
La Tradicion Restaurant,0.5245090909090909,3
Aroma Restaurant,0.22371844660194184,2.5
Manhattan Sandwichesss,-0.0042947368421052574,2
Nocochi,0.3948330188679246,3
Camarone's Cantina,0.15527625000000012,2.5
Quince,0.23183719512195125,2.5
Fox's Pizza Den,-0.07976666666666667,2
Cenci's Pizzeria & Bar-Wexford,0.14950215827338134,2.5
Warren's Jazz Bistro,0.26547500000000007,2.5
Fortitude Coffee,0.3906555555555557,3
Relics on 5th,0.6249,3.5
New King Wah Chinese Buffet,0.36435,2.5
Sakura Sushi,0.2573169398907103,2.5
YEE: School's Out for Summer @ PDQ,0.41445103448275866,3
Dazzling Modern Restaurant and Bar,0.2269358649789029,2.5
Pizza Patron,0.2716857142857143,2.5
Pasta & Provisions,0.45009473684210527,3
Ripley's Aquarium of Canada,0.074,2
Severino's Restaurant & Lounge,0.3326787878787879,2.5
Great Clips,-0.8316,1
L'Gros Luxe Plateau,0.39268319327731105,3
Michael Arthurs Pub,0.21230000000000002,2.5
The New Yorker Deli,0.25265846153846155,2.5
Hana Japanese Eatery,0.30951887781856335,2.5
Tommy V's Pastaria,0.29247878787878784,2.5
Guacamoles Fresh Mexican Grill,0.2697186666666665,2.5
Terrazza,0.3072616438356164,2.5
Saigon Sandwich Madison,0.261685294117647,2.5
HoneyBaked Ham & Cafe,0.3171,2.5
Tokyo Sushi,0.2583,2.5
The Mutt's Nuts,0.0,2
Graeter's,0.22673541666666672,2.5
Seafood Center,0.3018,2.5
Souper Market,0.2865176706827306,2.5
Youngtown Cafe,0.3824066666666666,3
Stock Restaurant Bar & Lounge,0.2906706451612901,2.5
La Chamade,0.0,2
Mexico Lindo,0.3617487179487179,2.5
Macy's,0.5839666666666666,3.5
Grill Time Korean BBQ House,0.22091258278145698,2.5
Comfort Inn & Suites,0.10928333333333333,2
Hero Certified Burgers - Ray Lawson,0.22459090909090904,2.5
Bitz-ee Mama's,0.1393246913580247,2.5
Fresh Mint,0.3325704285714288,2.5
Jazz 28,0.2627233333333333,2.5
CoCo Fresh Juice & Tea,0.23779804878048771,2.5
Smitty's Kitchen,0.29586000000000007,2.5
JR's Dairy Bar,0.19296153846153846,2.5
Jack's Pub,0.08290624999999999,2
Fat Tommy's Pizzeria,0.16130454545454548,2.5
Super Noodles,0.27239130434782605,2.5
Nineteen10,0.21736,2.5
Monterrey,0.22485107526881704,2.5
Massage Envy Phoenix - Ahwatukee,0.3889,3
Wing Wah,0.26607000000000003,2.5
Falafel World,0.2841041379310343,2.5
Losbetos Mexican Food,0.3015857142857143,2.5
World Food Championships,0.36505999999999994,2.5
Zaytoon Persian Kitchen & Dessert Bar,0.24783499999999997,2.5
Jack in the Box,0.20265,2.5
Itz A Wrap,0.05809230769230769,2
Los Tarascos Tacos,0.23596,2.5
BJ's Restaurant & Brewhouse,0.23853687499999995,2.5
Souper Bowl,0.2533833333333333,2.5
Dylans Grill and Pub,0.3990625,3
Gracie's Diner,0.3306888888888889,2.5
City Bistro,0.17846341463414633,2.5
Sugar Factory,0.4263692307692307,3
Toddy Shop,0.34459999999999985,2.5
Lala Bistro,0.5295583333333334,3
Grigio,0.38926315789473687,3
Aren't We Sweet,0.30652500000000005,2.5
Swiss Chalet Rotisserie & Grill,0.2991173469387757,2.5
Cineplex Odeon Varsity and Varsity Cinemas,0.06929230769230771,2
Kickshaw,0.21524218749999996,2.5
Filiberto's Mexican Food,0.2704326923076923,2.5
Chang Jiang Chinese Kitchen,0.19290625,2.5
Capriotti's Sandwich Shop,0.2873886462882095,2.5
Scottsdale Marriott at McDowell Mountains,0.6030599999999999,3.5
Bulk Barn,0.3511333333333333,2.5
Famous Laffa,0.25027599999999994,2.5
Trailsend Family Restaurant,0.17097500000000002,2.5
Bonnie Burrito,0.19304285714285713,2.5
TRU Burger Company,0.32900496224379816,2.5
Le Dejeuner Cosmopolitain,0.260675,2.5
Ken Ho's Snack Service,0.09303055555555553,2
Bradstreet's Landing,0.893,4.5
Balmoral Fish & Chips,0.49727857142857135,3
Two Dads' Diner,0.2496428571428572,2.5
Java Coast Cafe,0.2016777777777778,2.5
Rumjungle,0.2260365591397848,2.5
Mr. Handyman of Central Valley,0.1591,2.5
Patati Patata,0.3262904090267983,2.5
Bob's Garden Centre,0.39355,3
Wendy's,0.15610344827586206,2.5
Yonge Market 506,0.21263076923076923,2.5
Yip's Kitchen,0.11855,2
Vince Seafood Restaurant & BBQ,0.28863900000000003,2.5
Volume Salon,0.0,2
Taste of Italy Pizza,0.2793854961832059,2.5
Churrasqueira Vira's BBQ,-0.3595,1.5
The Improper Pig,0.31602079002079053,2.5
Apple Store,-0.5157,1.5
Inaka Sushi,0.32960645161290325,2.5
Rubens Chocolate,0.38602499999999995,3
Above All Grand Salon & Spa,0.836,4.5
Sonic,0.48448,3
Chuck's Roadhouse Bar and Grill,0.28786923076923077,2.5
Saveurs Thai,0.23761666666666667,2.5
China Saute,0.2434028571428571,2.5
The Farm Sessions,0.4292818181818182,3
McDonald's,0.02237000000000001,2
Top O' The Mornin' Donut & Coffee Shop,0.36046923076923076,2.5
17 Steps Restaurant and Bar,0.2881662337662338,2.5
Albertsons-Osco,-0.10156666666666668,2
Danny Mac's,0.17752000000000004,2.5
The Zenith,0.29645401662049853,2.5
Bashas',0.3862285714285714,3
South East Gears & Cheers,0.28933203883495145,2.5
Mountainside Fitness,0.7838,4
Greek Street,0.40125,3
Armando's,0.047997959183673465,2
Twisters Soft Serve Ice Cream,0.15487049180327872,2.5
JJ's Grubb Shack N Liquor,0.24595000000000006,2.5
Nadia's Restaurant & Grapevine Lounge,0.2925714285714286,2.5
Thrifty Ice Cream,0.31845,2.5
Coney Island Grill,0.142475,2.5
Priya Indian Restaurant,0.09033272727272727,2
Planet Sub,0.31798461538461537,2.5
Stardust Salon / Anna Ware,0.31845,2.5
Chester's BBQ,0.2609545454545455,2.5
Sushi Omigoto,0.30674444444444443,2.5
Center Bar,0.304325,2.5
Aladdin Juice Bar & Restaurant,0.146575,2.5
Spicy Tang,0.04007179487179487,2
Restaurant Karoun,0.36948032786885243,3
Jasmine,0.31965897435897433,2.5
Union Pig & Chicken,0.24392244897959273,2.5
Mandarin Restaurant - Toronto,0.23104826254826247,2.5
Galitos Flame Grilled Chicken,0.19845111111111113,2.5
New Life Massage & Whole Living Solutions,0.6476,3.5
MoMo's Kebab,0.37304673123486676,3
Kornerstones,0.18948888888888893,2.5
Pizza e Pazzi,0.32337999999999995,2.5
L'Oeufrier,0.34977957446808483,2.5
Asian Chao,0.0,2
The Purple Pig cafe,0.2708812500000001,2.5
East End Bistro & Pub,0.32643333333333335,2.5
Motel One,0.4229,3
Cafe St Germain,0.26151904761904765,2.5
Coffee & Tea Express,0.37949999999999995,3
Culligan Water Conditioning of Las Vegas,0.59005,3.5
Moxie Java,0.23080454545454546,2.5
Gelato 64,0.40131818181818185,3
Elounda,0.3329068493150683,2.5
AJ Bambino,-0.015174999999999994,2
The Atlantic,0.2889307106598983,2.5
Sobeys,0.60405,3.5
Le Simone,0.0,2
Boston's,0.28795,2.5
Holiday Inn Express Las Vegas-Nellis,0.549775,3
The Bounty Tavern,0.1578,2.5
E & R Sweetery,0.5106571428571429,3
BLT Steak,0.3256772323317823,2.5
Leo Barber Shop,0.4588,3
3 Tomatoes & A Mozzarella,0.21766346153846158,2.5
Waterfalls Indian Tapas Bar & Grill,0.2428441964285714,2.5
Arlequino,0.21932254901960777,2.5
Chuck's Chicken Plus,0.35776562500000003,2.5
Something Classic Cafe,0.17753103448275862,2.5
Two Scoops Creamery,0.3800908872901675,3
Bruster's Real Ice Cream,0.377276,3
Northside Farmers Market,0.2262777777777778,2.5
Lucky Season Cuisine,0.27179000000000003,2.5
Yuppdduk,0.3846944444444444,3
Whole Foods Market,0.28846746987951805,2.5
Maryanne's Breakfast & Lunch,0.17656923076923076,2.5
Lescurier Tradition Gourmande,0.23711999999999994,2.5
T.C. Eggington's,0.2767650000000001,2.5
Golden Vaughan,0.1954565217391304,2.5
Giggling Tomatoes Restaurant,0.23605306122448982,2.5
Katie's Kandy,0.41961818181818183,3
Jack's New Yorker Deli,0.26153853211009176,2.5
Chez Sophie,0.38243695652173904,3
Chesser Fish & Chips,0.46849999999999997,3
Alexion's Bar & Grill,0.24802795698924718,2.5
Kashmir Valley,0.21960384615384615,2.5
Shari's Rock & Roll Diner,0.22349811320754723,2.5
China Moon,0.06285714285714285,2
Mooyah,0.32634139784946226,2.5
Tomo Steakhouse & Sushi Bar,0.18098,2.5
Emerald Island Casino,0.37123571428571417,3
Silver Sage Wellness,0.13071666666666668,2.5
Taxco Mexican Grill,0.23864605263157895,2.5
Sonic Drive-In,0.18452500000000002,2.5
Any Direct Flight,-0.01976,2
New Seaway Fish Market,0.38356666666666667,3
Hungry Howie's Pizza,0.2723707317073171,2.5
Wrapcity Gourmet,0.26875263157894735,2.5
Tai Pan,0.23276,2.5
Salads UP,0.2668357142857143,2.5
Denny's,-0.08248999999999998,2
Great American Food,0.32301122448979586,2.5
Mulligans Sports Bar & Grille,0.1059,2
Shanghai 1938,-0.12292777777777777,2
Noreen's Cocktail Lounge,-0.17,2
Tao Restaurant,0.354002380952381,2.5
Casa Loma,0.28209397590361435,2.5
Restaurant Gandhi,0.3356406896551723,2.5
Ardolino's Pizza,0.4150044444444445,3
Fleur's Deli,0.28603749999999994,2.5
Inferno Hot Pilates,0.7035,4
Arby's,0.0777,2
Yogurty's Yogurt,0.2927298507462687,2.5
Sachi Sushi,0.43287424242424233,3
Yard House,0.331862155688623,2.5
Ghazale,0.26781568627450997,2.5
Smashburger,0.40504594594594595,3
Executive Men's Grooming by Tony Starks,0.8241,4.5
Biryani Kabab and More,0.27852000000000005,2.5
Seoul Restaurant,0.3482483870967742,2.5
Sichuan Landscape Chinese Restaurant,0.08564255319148936,2
"Smell, No Taste!",0.284765,2.5
Disanto Pizza,-0.007490000000000002,2
Buffalo Browns Wings and Things,0.27467777777777774,2.5
The Keg Steakhouse + Bar - York Street,0.35114505050505035,2.5
Butter Avenue Yonge & Lawrence,0.36654871794871796,2.5
Playa Cabana Cantina,0.272148395721925,2.5
Mirage Grill & Lounge,0.07165624999999999,2
Las 15 Salsas,0.41421600000000014,3
Ahwatukee Country Club,0.07615,2
Pizzaiolo,0.3325538461538462,2.5
Raku Sushi,0.27690000000000003,2.5
Kasai,0.3705999999999999,3
Sushi St-Denis,0.12518655462184874,2.5
JD's Sports Pub & Lounge,0.2673224489795918,2.5
Soupesoup,0.17758260869565215,2.5
Safeway,0.3932833333333334,3
Peckish Prep,0.25856,2.5
It's A Grind Coffee House,0.31787999999999994,2.5
The Brown Bag Deli Restaurant,0.37074545454545466,3
Golden Donuts & Smoothies,0.28895098039215666,2.5
Bistro 422 Bar & Grill,0.0,2
Petits Gateaux,0.2673034482758621,2.5
Los Zarapes,0.388368,3
Al Pastor,0.1944315789473684,2.5
Mario Fazio's Restaurant & Catering,0.33684854771784184,2.5
My Florist Cafe,0.21081802721088422,2.5
White House Meats,0.4146,3
Palio Pronto,0.059426923076923086,2
Free Times,0.27836507177033487,2.5
La Bistrote,0.37965000000000004,3
Badger Bowl,0.3894333333333333,3
Peroni Resto Bar,-0.0008999999999999841,2
Menchie's - Brossard,0.49122399999999994,3
Reds Bistro and Wine Bar,0.24015839999999994,2.5
Extra Butter Coffee,0.19974594594594597,2.5
Brickstone,0.2418796875,2.5
Native New Yorker,0.1838827586206896,2.5
No 1 Chinese Kitchen,0.1185263157894737,2
Ristorante Pizzeria La Piazzetta,-0.08460000000000001,2
La Strada Bakery,0.6283391304347825,3.5
Restaurant Beijing,0.23894566473988413,2.5
DSW Designer Shoe Warehouse,-0.5267,1.5
Paradise Bakery and Cafe,0.1560585714285714,2.5
William J Walter,0.3843000000000001,3
The Burnham Restaurant,0.33239861111111113,2.5
Golden Crisp Fish & Chips,0.17276666666666665,2.5
Hemingway's Cafe,0.24398333333333339,2.5
Tasti D-Lite,0.31425945945945954,2.5
Microsoft Cafeteria,-0.03577500000000003,2
Master Italian Pizzeria,0.33635454545454546,2.5
Lac Vien Vietnamese Restaurant,0.2259831360946743,2.5
Honey Hut Ice Cream Shoppe,0.2881122448979592,2.5
Lupo,0.37482499999999996,3
Carmona's Cafe,0.13903469387755107,2.5
Est West Cafe,0.2813995454545452,2.5
Druxy's Famous Deli,0.07315714285714285,2
Bar Moderno,0.2441571428571429,2.5
Osteria 2350,0.2470122923588037,2.5
Panaderia & Taqueria Marimar,0.360025,2.5
The Original Flame Burger,0.20841625000000003,2.5
Enterprise Rent-A-Car,0.5994,3.5
Gourmet Express,0.3384203124999999,2.5
Espresso Planet,0.3135142857142857,2.5
Djerba la Douce,0.28650281690140844,2.5
J&R Kosher Meat & Delicatessen,0.40857777777777776,3
Vintage Tea & Coffee,0.33672199999999997,2.5
Poutini's House of Poutine,0.36157152777777757,2.5
Giuseppes Pizza & Subs,0.1715866666666667,2.5
Bert's Backyard Bar and Bistro,0.2602113636363636,2.5
LA Fitness,0.9206,4.5
Shahi The Royal Roti,0.10705185185185188,2
Paraiso Skin Care,-0.3804,1.5
Big Bus Tours - Las Vegas,-0.148,2
Fox & Fiddle,0.2340830188679245,2.5
Bread and Kabob,0.21637784090909082,2.5
Luna Rossa,0.299787912087912,2.5
Metro Plus,0.08889090909090909,2
Destingo,0.13450307692307698,2.5
Dozen Cupcakes,0.2571317241379309,2.5
Bucci's Brick Oven,0.2744176767676766,2.5
Blackfriars,0.34852619047619054,2.5
Henri Saint-Henri,0.350878947368421,2.5
Tim Hortons,0.4397666666666667,3
Chez Carl Express,0.1798666666666667,2.5
New Hong Kong,0.2066659898477157,2.5
Tandoori Chaska,0.19368181818181823,2.5
McDonalds,-0.03278846153846153,2
Saigon Bistro,0.3239884615384616,2.5
LaMarca's Pizza,0.24923333333333333,2.5
Goods & Provisions,0.2581224543080937,2.5
Sur La Table,0.4200333333333333,3
Essen,0.22456000000000004,2.5
Pho Little Saigon,0.24055830618892493,2.5
Hot Dog On A Stick,0.41506000000000004,3
Natalia's Gourmet Bakery,0.341175,2.5
Caju,0.1563775,2.5
Peppery Cat,0.2889592592592593,2.5
Roberto's Taco Shop,0.22160268199233704,2.5
Bon Appetit Cafe,0.2581,2.5
The Counter,0.346343396226415,2.5
Big Eye Sushi Bar,0.3033502145922745,2.5
Pantages Hotel Toronto Centre,-0.09875,2
Thimbleberry House,0.24746666666666664,2.5
The Pursuit of Frosting,0.278844,2.5
The Cosmopolitan of Las Vegas,0.531525,3
Liberty Shawarma,0.24913783783783783,2.5
Tealicious Tea House,0.3338118279569893,2.5
T1 Tapas,0.19729032258064516,2.5
Dusit Restaurant,0.3069990338164251,2.5
Escape Lounge,0.18663333333333332,2.5
Asian Legend,0.25766495098039194,2.5
Peoples Food,0.26424285714285717,2.5
New Sun Star Super Buffet,0.4939,3
UUBU 6,0.179756,2.5
Cream,0.23484,2.5
Five Guys,0.5782117647058824,3.5
The 5-Spot,0.33776790123456785,2.5
"Grain, Curd & Bean",0.4340761904761905,3
Aroma Bakery,0.36000714285714286,2.5
Rosie's Italian Cafe,0.33762785714285704,2.5
